epoch,step,test_acc,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,,0.7458370923995972,,
0,70,,,,,,0.6495176553726196,0.6304150223731995
0,70,,,0.6106666922569275,0.6576088070869446,,,
1,99,,,,,0.6033473014831543,,
1,141,,,,,,0.6495176553726196,0.6314222812652588
1,141,,,0.6666666865348816,0.6144901514053345,,,
2,149,,,,,0.6724270582199097,,
2,184,0.6753246784210205,0.5965953469276428,,,,,
